status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1726840707573399_1895099004080901,'LIKE' IF YOU HAVE NO INTENTION OF WATCHING THE CRY BABIES AT THE OSCARS!,"Senior Citizens Put Hollywood On Notice! Leave Trump Alone At The Oscars, or ELSE!",link,http://conservativefighters.com/news/senior-citizens-put-hollywood-notice-leave-trump-alone-oscars-else/,2017-02-26 00:31:20,779,70,37,750,15,2,9,0,3
1726840707573399_1895086407415494,"Ivanka has been taking fire, but she is a true leader.

We love her, let's give her our support.

Can we get 5,000 'LIKES' for Ivanka Trump?","They Tried To Stop Her, But Ivanka Refused To Back Down… Look What She's Doing Now",link,http://conservativefighters.com/news/tried-stop-ivanka-refused-back-look-shes-now/,2017-02-25 23:57:07,797,18,23,745,52,0,0,0,0
1726840707573399_1895033474087454,"A Muslim got on a bus and punched the white bus driver right in the face for no reason, but apparently, Allah forget to teach him ONE thing that proved VERY costly!

I could watch this video 20 times and not get tired of it!","WATCH – Muslim Punches White Bus Driver, But Allah Forgot to Teach Him ONE Thing",link,http://conservativefighters.com/news/watch-muslim-punches-white-bus-driver-allah-forgot-teach-one-thing/,2017-02-25 23:07:47,1301,226,371,954,94,35,205,2,11
1726840707573399_1895019970755471,"UNBELIEVABLE...

Let's get 100,000 'SHARES' to tell Obama he's NOT our President ANYMORE!",BREAKING: Barack Makes ABSURD Demand For $1.5 BILLION… Taxpayers Are Absolutely FURIOUS!,link,http://conservativefighters.com/news/breaking-barack-makes-absurd-demand-1-5-billion-taxpayers-absolutely-furious-2/,2017-02-25 22:48:57,886,305,228,522,9,13,91,4,247
1726840707573399_1895002714090530,"DOES HE DESERVE TO LOSE HIS SENATE SEAT?

""LIKE"" = HECK YES",HUGE MCCAIN SCANDAL ROCKS WASHINGTON,link,http://conservativefighters.com/news/huge-mccain-scandal-rocks-washington/,2017-02-25 22:24:12,5757,1294,576,5158,63,45,39,19,433
1726840707573399_1894970664093735,"BREAKING NEWS!

The FBI has cleared President Donald J. Trump in the alleged Russian scandal, but the mainstream media refuses to tell anyone about it!

Seems like they only like to report fake news, not the TRUTH!",BREAKING: FBI Clears Trump In Russia 'Scandal' - Total Media BLACKOUT!,link,http://conservativefighters.com/news/breaking-fbi-clears-trump-russia-scandal-total-media-blackout/,2017-02-25 21:54:57,1177,96,406,1022,78,7,10,13,47
1726840707573399_1894958567428278,"NO ONE expected this........Donald is a GENIUS!

LET'S GET 50,000 'LIKES' FOR TRUMP!!",BREAKING: Trump Just BLINDSIDED The Supreme Court…Every Conservative Is CHEERING!,link,http://conservativefighters.com/news/breaking-trump-just-blindsided-supreme-courtevery-conservative-cheering/,2017-02-25 21:28:11,3110,102,279,2897,157,14,38,1,3
1726840707573399_1894946757429459,"President Donald J. Trump had enough, so he had armed guards remove a traitor from the White House after the traitor did THIS to Ivanka Trump!

He got off easy, because what he did is disgusting!

Can we get 5,000 'LIKES' to support Trump and Ivanka?",Trump Has ARMED GUARDS Remove TRAITOR from White House After He Did THIS to Ivanka,link,http://conservativefighters.com/news/trump-armed-guards-remove-traitor-white-house-ivanka/,2017-02-25 21:03:04,5042,326,349,4694,213,83,18,10,24
1726840707573399_1894929544097847,"**THIS IS THE MAINSTREAM MEDIA'S WORST NIGHTMARE**

Nobody saw this coming. This will turn Washington upside down!

Do you stand with Trump against the mainstream media? - COMMENT with """"Yes"""" or """"No"""" then #SHARE so this goes viral!",IT'S OVER! Trump Just Looked into the Camera & Announced The Media's WORST NIGHTMARE!,link,http://conservativefighters.com/news/trump-just-looked-camera-announced-medias-worst-nightmare,2017-02-25 20:33:10,3326,787,631,3045,236,11,30,1,3
1726840707573399_1894920394098762,"WE RESPECT OUR SOLDIERS!

Can we get 50,000 LIKES for our President Trump for supporting the military troops?",EXCLUSIVE: What Trump Did For Soldiers Has NEVER Been Done In American History!,link,http://conservativefighters.com/news/exclusive-trump-soldiers-never-done-american-history/,2017-02-25 20:08:35,3832,65,314,3636,181,13,2,0,0
1726840707573399_1894910844099717,*LIKE* if you WANT THIS MAN IN PRISON!!!!!,BOMBSHELL: Obama Arms Sale SCANDAL EMERGES – PATRIOTS SHOCKED,link,http://conservativefighters.com/news/bombshell-obama-arms-sale-scandal-emerges-patriots-shocked/,2017-02-25 19:45:58,2573,218,235,2376,32,21,10,2,132
1726840707573399_1894902327433902,"Sheriff Clarke promised he would deliver and he did exactly that.

Can we get 5,000 'LIKES' for Sheriff Clarke?",WATCH: Sheriff Clarke Just Got On Stage And Said 3 Words That Instantly Got Crowd Cheering,link,http://conservativefighters.com/news/watch-sheriff-clarke-just-got-stage-said-3-words-instantly-got-crowd-cheering/,2017-02-25 19:25:04,2622,55,184,2471,138,10,2,0,1
1726840707573399_1894888170768651,"BOYCOTT OSCARS 2017! 🇺🇸🇺🇸🇺🇸

IF YOU ARE JOINING THE 'OSCARS BOYCOTT' SHARE THIS 1 MILLION TIMES! 🇺🇸🇺🇸🇺🇸

LIKE 👍 Donald Trump News for more!",,video,https://www.facebook.com/DonaldTrumpNews.Co/videos/1894888170768651/,2017-02-25 19:08:41,102079,31358,47317,78578,15422,249,1017,376,6438
1726840707573399_1894880684102733,This is so sad. Our thoughts and prayers are with the family.,BREAKING: Fox Reporter Dies Unexpectedly In Tragic Way,link,http://conservativefighters.com/news/breaking-fox-reporter-dies-unexpectedly-tragic-way,2017-02-25 18:44:03,1325,179,77,476,9,37,2,795,6
1726840707573399_1894872017436933,"Pat Sajak came out of left field and hilariously knocked out every Donald J. Trump hating liberal.

Can we get 10,000 'LIKES' for Pat Sajak?",Pat Sajak Came Out Of Nowhere And DESTROYED Every Trump-Hating Liberal Crybaby,link,http://conservativefighters.com/news/pat-sajak-came-nowhere-destroyed-every-trump-hating-liberal-crybaby/,2017-02-25 18:23:25,9613,260,1260,8841,522,18,227,0,5
1726840707573399_1894843500773118,"DO YOU STILL SUPPORT PRESIDENT TRUMP?

YES OR NO:",BREAKING: President Trump Makes DEVASTATING ANNOUNCEMENT - This Isn't Good...,link,http://conservativefighters.com/news/breaking-president-trump-makes-devastating-announcement-isnt-good/,2017-02-25 17:39:42,8845,2138,554,8115,332,30,15,38,315
1726840707573399_1894829457441189,"TAKE THAT!!

Donald Trump just hit back at the Dems refusing to let his Cabinet members get confirmed in the BEST WAY EVER! 

If you Agree with Trump help him get 450,000 Shares. Also Comment TRUMP IS MY PRESIDENT!!",Trump Just DESTROYED Democrats With Just ONE WORD That They Hate The Most,link,http://conservativefighters.com/news/trump-just-destroyed-democrats-just-one-word-hate/,2017-02-25 17:11:38,4049,686,755,3741,121,18,22,11,136
1726840707573399_1894817707442364,"WAKE UP, America. 

He had NO interest in protecting us!",TREASON: Illegal Immigration Insider Exposes Obama…He Was America's ENEMY!,link,http://conservativefighters.com/news/treason-illegal-immigration-insider-exposes-obamahe-americas-enemy/,2017-02-25 16:50:41,1668,311,454,1237,14,41,8,21,347
1726840707573399_1894805127443622,"She mouthed off to the judge, and instantly learned that was a huge mistake.

No free ride in this country!

Are you sick and tired of people using you to pay their bills?",WATCH: No-Nonsense Judge Gives Obama-Voting Welfare Leech a HARD SLAP OF REALITY!,link,http://conservativefighters.com/news/watch-no-nonsense-judge-gives-obama-voting-welfare-leech-hard-slap-reality,2017-02-25 16:24:14,4264,866,480,3443,87,63,320,15,336
1726840707573399_1894772474113554,LIKE' if you'll never spend money at Starbucks again!!!,"Liberals Starbucks CEO Gets DEVASTATING NEWS After Hiring 10,000 Refugees",link,http://conservativefighters.com/news/liberals-starbucks-ceo-gets-devastating-news-hiring-10000-refugees,2017-02-25 15:33:28,2045,238,124,1907,33,2,84,2,17
1726840707573399_1894763537447781,LIKE' if you want Barack Hussein Obama to GO AWAY FOR GOOD!!!,Barack Obama Resurfaces - Makes TERRIFYING ANNOUNCEMENT,link,http://conservativefighters.com/news/barack-obama-resurfaces-makes-terrifying-announcement,2017-02-25 15:14:13,2615,398,134,2438,22,7,11,1,136
1726840707573399_1894742957449839,"Michelle Obama was the most ungrateful, obnoxious woman to EVER be First Lady. 

'LIKE' IF YOU AGREE!!",BREAKING: Melania Trump Just Made Michelle Obama's WORST NIGHTMARE COME TRUE,link,http://conservativefighters.com/news/breaking-melania-trump-just-made-michelle-obamas-worst-nightmare-come-true/,2017-02-25 14:35:16,1021,92,94,950,42,6,17,1,5
1726840707573399_1894722664118535,"Meryl Streep is a Liberal idiot, LIKE if you agree..",BREAKING: Meryl Streep Gets HORRIBLE News – Her Fans Are SHOCKED,link,http://conservativefighters.com/news/breaking-meryl-streep-gets-horrible-news-fans-shocked/,2017-02-25 14:06:01,8744,1170,547,8032,51,63,345,18,235
1726840707573399_1894722307451904,"Do You SUPPORT THIS?

LET'S GET 50,000 'LIKES' FOR TRUMP!!",BREAKING: President Trump Just Signed An Executive Order That Prevents Illegals From Using Welfare - Do You SUPPORT THIS?,link,http://conservativefighters.com/news/breaking-president-trump-just-signed-executive-order-prevents-illegals-using-welfare-support/,2017-02-25 13:54:25,11272,901,964,10533,663,14,49,1,12
1726840707573399_1894702144120587,"MAKE AMERICA GREAT AGAIN!! 🇺🇸🇺🇸🇺🇸

LET'S GET 1 MILLION LIKES AND SHARES FOR TRUMP!! 🇺🇸🇺🇸🇺🇸 

LIKE 👍 Donald Trump News for more!",,video,https://www.facebook.com/DonaldTrumpNews.Co/videos/1894702144120587/,2017-02-25 13:39:08,30992,8251,6536,24591,5573,69,170,50,539
1726840707573399_1894703724120429,"SHOULD THEY BE CHARGED WITH FELONIES?

""LIKE"" = YES!!",Anti-Trump Rioters Block Freeway... Watch Them Get a NASTY DOSE OF REALITY!,link,http://conservativefighters.com/news/anti-trump-rioters-block-freeway-watch-get-nasty-dose-reality/,2017-02-25 13:21:42,6925,1376,833,6248,191,29,369,14,74
1726840707573399_1894686687455466,"President Trump has had ENOUGH.

Do you support Trump? LIKE = YES!",BREAKING: Trump Just Blindsided FBI With Shock Demand 'FIND NOW',link,http://conservativefighters.com/news/breaking-trump-just-blindsided-fbi-shock-demand-find-now/,2017-02-25 12:48:11,1648,124,53,1585,46,12,2,1,2
1726840707573399_1894663180791150,"She had the nerve to try and tell him what to do, but she didn't know who she was dealing with.

Can you believe the nerve of this woman...

Can we get 5,000 'LIKES' for Sheriff Clarke?","Disrespectful Lib Demands Sheriff Clarke Remove His Hat, Watch How He Responds… Epic",link,http://conservativefighters.com/news/disrespectful-lib-demands-sheriff-clarke-remove-hat-watch-responds-epic/,2017-02-25 12:02:09,3987,252,344,3514,187,14,269,1,2
1726840707573399_1894648277459307,"DO YOU SUPPORT TRUMP'S MUSLIM BAN?

LIKE = HECK YES!",Muslim Thug Tries to Hijack Plane – Then Gets NASTY Surprise From Patriotic Cop,link,http://conservativefighters.com/news/muslim-thug-tries-hijack-plane-gets-nasty-surprise-patriotic-cop/,2017-02-25 11:36:34,11890,1010,1196,11308,322,136,52,8,66
1726840707573399_1894637614127040,"UNBELIEVABLE! 

Let's get 10,000 'SHARES' to keep the media from burying the man behind all this - Obama!",MASSIVE Social Security Scandal Leaks…Corruption ROCKS Washington!,link,http://conservativefighters.com/news/massive-social-security-scandal-leakscorruption-rocks-washington/,2017-02-25 11:13:26,4440,370,1889,3126,19,222,8,55,1010
1726840707573399_1894624497461685,"We...are...SOARING!

LET'S GET 100,000 'LIKES' FOR TRUMP!!",Historic: Trump's $2 TRILLION Bombshell Stuns U.S. Economy… America Is Rich Again!,link,http://conservativefighters.com/news/historic-trumps-2-trillion-bombshell-stuns-u-s-economy-america-rich/,2017-02-25 10:46:56,2290,51,200,2165,96,14,12,0,3
1726840707573399_1894484147475720,"DO YOU SUPPORT OUR NEW FIRST LADY?

LIKE = YES!!",Outrage After Melania Trump Seen Doing THIS - Watch Closely...,link,http://conservativefighters.com/news/outrage-melania-trump-seen-watch-closely/,2017-02-25 09:00:34,8619,679,433,7988,579,10,38,2,4
1726840707573399_1894483837475751,"**IT'S HAPPENING**
Trump isn't playing games anymore! This is exactly why people voted for him!

Do you stand with Trump against the TRAITORS in the FBI? - COMMENT with ""Yes"" or ""No"" then #SHARE so this goes viral!",BREAKING: Trump Just Contacted the FBI and Issued This DIRE Warning! He is P*SSED!,link,http://conservativefighters.com/news/breaking-trump-just-contacted-fbi-issued-dire-warning-pssed/,2017-02-25 08:30:01,11041,2463,2106,10430,448,108,14,5,36
1726840707573399_1894483504142451,"BREAKING NEWS!

A major Clinton insider came forward to reveal VERY important information about the Clinton assassinations. His story is chilling.

This information is so damning for the Clintons.","BREAKING: Clinton Insider Comes Forward About Clinton Assassinations, It's Finally Revealed",link,http://conservativefighters.com/news/breaking-clinton-insider-comes-forward-clinton-assassinations-finally-revealed/,2017-02-25 08:00:02,2451,280,730,1836,26,303,27,18,241
1726840707573399_1894482787475856,"Some pro-migrant anti-Trump protesters decided to block a road, but they ran into the WRONG cops on the wrong day!

And they got exactly what they deserved!","WATCH: Pro-Migrant Anti-Trump Protesters Block Road, Mess With The WRONG Officers",link,http://conservativefighters.com/news/watch-pro-migrant-anti-trump-protesters-block-road-mess-wrong-officers/,2017-02-25 07:33:49,3298,495,378,2840,173,13,260,3,9
1726840707573399_1894482344142567,"THIS IS SICK!

This is beyond sickening. Right after Alan Colmes died, the left showed us who they REALLY are.",Liberals Sink To New Low Right After Fox News Star Dies Tragically - Shows Their True Colors...,link,http://conservativefighters.com/news/liberals-sink-new-low-right-fox-news-star-dies-tragically-shows-true-colors/,2017-02-25 07:00:37,708,221,75,267,8,15,1,200,217
1726840707573399_1894481924142609,"As Donald J. Trump was speaking to a group of manufacturing CEOs, he cracked a joke about Hillary Clinton... and the panel of CEOs couldn't stop from laughing!

Check out the joke that had these executives chuckling.",Panel Can't Hold Back Laughter After Trump Tells BRUTAL Hillary Joke Right in Front of Them,link,http://conservativefighters.com/news/panel-cant-hold-back-laughter-trump-tells-brutal-hillary-joke-right-front/,2017-02-25 06:30:00,1377,44,109,1227,58,1,90,0,1
1726840707573399_1894490960808372,"DONALD TRUMP PROMISES TO LOWER TAXES!

#SHARE if you want Trump to lower taxes! He is going to make this country rich again! Give him a 'THANK YOU' in comments if you want Trump will lower taxes.",The Trump Media,video,https://www.facebook.com/thetrumpmedia/videos/839475499524585/,2017-02-25 06:16:41,15949,1226,0,15552,354,15,22,4,3
1726840707573399_1894481247476010,"Hollywood elites have gone TOO FAR this time...

THEY'RE RUINED!",Hollywood Elites Facing MAJOR BACKLASH From Americans Over Trump-Hate,link,http://conservativefighters.com/news/hollywood-elites-facing-major-backlash-americans-trump-hate/,2017-02-25 06:07:00,1700,163,101,1475,90,9,109,1,17
1726840707573399_1894475800809888,#RED ALERT! Trump's FBI just Stopped an ISIS terror plot 10x Bigger than the Boston Bombing... THEY ARE HERE!,ALERT: Trump's FBI just Stopped an ISIS terror plot 10x Bigger than the Boston Bombing,link,http://conservativefighters.com/news/alert-trumps-fbi-just-stopped-isis-terror-plot-10x-bigger-boston-bombing/,2017-02-25 05:46:29,7803,332,1639,6757,291,651,17,15,72
1726840707573399_1894464940810974,"THIS IS AWESOME!

Can we get 50,000 LIKES for our First Lady Melania?","Just 2 Days Before the Oscars, Melania Gives SHOCKING Surprise To Meryl Streep And Other Liberal Celebrities",link,http://conservativefighters.com/news/just-2-days-oscars-melania-gives-shocking-surprise-meryl-streep-liberal-celebrities/,2017-02-25 05:14:31,29231,1923,2275,27009,1664,40,496,6,18
1726840707573399_1894456120811856,"Do you think Donald J. Trump is a GREAT president?

LIKE = HELL YES!!",LOOK: Here's What Happened Hours Before Trump's CPAC Speech – IT'S FINALLY HAPPENING!,link,http://conservativefighters.com/news/look-heres-happened-hours-trumps-cpac-speech-finally-happening/,2017-02-25 04:53:56,9619,463,391,9279,309,15,10,1,5
1726840707573399_1894167520840716,"Ruth Bader Ginsberg just made a bombshell announcement about Donald Trump's supreme court nominee.

This could have an unexpected impact...",BREAKING: Ruth Bader Ginsburg Makes Neil Gorsuch Announcement That Changes Everything,link,http://conservativefighters.com/news/breaking-ruth-bader-ginsburg-makes-neil-gorsuch-announcement-changes-everything/,2017-02-24 23:30:00,1042,90,89,954,28,54,3,1,2
1726840707573399_1894269930830475,Jenner just sent Trump a message that has heads turning...,Watch: Caitlyn Jenner Sends Trump Message From 'One Republican To Another' - People Didn't Expect It,link,http://conservativefighters.com/news/watch-caitlyn-jenner-sends-trump-message-one-republican-another-people-didnt-expect/,2017-02-24 23:06:45,773,1002,67,195,3,15,320,17,223
1726840707573399_1894257157498419,"BREAKING NEWS!

A very powerful group of U.S. seniors have united to declare a boycott against someone VERY surprising.

Do you support this boycott, or do you think they are wrong?",BREAKING: US Seniors Declare BOYCOTT Against Someone Surprising - Do You Support?,link,http://conservativefighters.com/news/breaking-us-seniors-declare-boycott-someone-surprising-support/,2017-02-24 22:44:54,21360,3697,4567,18819,1886,113,467,6,69
1726840707573399_1894238887500246,"NO MORE WELFARE FOR ILLEGALS!

LIKE IF YOU AGREE.",Freeloading Migrant Shows Up To Get Welfare Check In Texas - Gets a NASTY Surprise!,link,http://conservativefighters.com/news/freeloading-migrant-shows-get-welfare-check-texas-gets-nasty-surprise/,2017-02-24 22:15:03,5017,328,768,4407,271,19,303,0,17
1726840707573399_1894166237507511,IF YOU THINK TRUMP IS WORKING HARD FOR AMERICAN PEOPLE GIVE US A 'LIKE' AND 'SHARE' AND COMMENT 'I SUPPORT TRUMP',THIS IS MIND BLOWING! You Won't Believe How Much Hours Trump Worked In the 1st Month...,link,http://conservativefighters.com/news/mind-blowing-wont-believe-much-hours-trump-worked-1st-month/,2017-02-24 22:15:00,21570,2593,5588,20527,882,121,23,2,15
1726840707573399_1894222290835239,"Even liberals are pissed at Obama for this one.

SHOULD OBAMA BE LOCKED UP? LIKE = YES!","BREAKING: Trump Finished Obama Audit, Check How Much Obama Paid Illegals – AMERICA'S FURIOUS",link,http://conservativefighters.com/news/breaking-trump-finished-obama-audit-check-much-obama-paid-illegals-americas-furious/,2017-02-24 21:46:08,7214,975,1448,5782,38,181,28,35,1151
1726840707573399_1894163570841111,"Michelle Obama is the most classless, obnoxious First Lady in US history! 

DO YOU AGREE??? LIKE = YES!",Michelle Obama Caught Doing the UNTHINKABLE – Watch Closely…,link,http://conservativefighters.com/news/michelle-obama-caught-unthinkable-watch-closely-2/,2017-02-24 21:15:01,3908,694,204,3609,13,27,67,8,184
1726840707573399_1894187410838727,"DO YOU AGREE WITH TRUMP?

YES OR NO:",Trump Just Said It's Time For All Americans To Get Off Welfare - Let's Start With This Liberal Scumbag,link,http://conservativefighters.com/news/trump-just-said-time-americans-get-off-welfare-lets-start-liberal-scumbag/,2017-02-24 21:03:37,11430,993,1209,10810,411,93,33,4,79
1726840707573399_1894172060840262,"BOOM - she just made her father - and all of America - PROUD AS HELL!

LET'S GET 50,000 'LIKES' FOR IVANKA TRUMP!!",Ivanka Trump Smashes HISTORIC Record…She Just Humiliated Liberals For GOOD!,link,http://conservativefighters.com/news/ivanka-trump-smashes-historic-recordshe-just-humiliated-liberals-good/,2017-02-24 20:48:57,8476,200,499,8022,398,5,48,0,3
1726840707573399_1894138487510286,"BOYCOTT OSCARS 2017! 🇺🇸🇺🇸🇺🇸

IF YOU ARE JOINING THE 'OSCARS BOYCOTT' SHARE THIS 1 MILLION TIMES! 🇺🇸🇺🇸🇺🇸

LIKE 👍 Donald Trump News for more!",,video,https://www.facebook.com/DonaldTrumpNews.Co/videos/1894138487510286/,2017-02-24 20:27:47,60410,19242,23715,48791,8558,105,417,187,2353
1726840707573399_1894141067510028,"DO YOU STILL SUPPORT DONALD J. TRUMP? 

""LIKE"" = HECK YES!!",UNBELIEVABLE: Watch What Happened IMMEDIATELY When Trump Took the Stage at CPAC,link,http://conservativefighters.com/news/unbelievable-watch-happened-immediately-trump-took-stage-cpac/,2017-02-24 20:17:35,3225,192,115,3063,149,5,5,0,3
1726840707573399_1894134360844032,"STARBUCKS IS OVER! 🇺🇸🇺🇸🇺🇸

If you are joining the 'STARBUCK'S BOYCOTT' share this 1 million times, and comment 'POUR OUT STARBUCKS!' 🇺🇸🇺🇸🇺🇸","Starbucks Vowed To Hire 10,000 Refugees, Now LOOK What's Happening To The Company",link,http://conservativefighters.com/news/starbucks-vowed-hire-10000-refugees-now-look-whats-happening-company/,2017-02-24 20:05:18,5423,1184,1759,4502,159,25,566,15,157
1726840707573399_1894119470845521,"""How dare you? You do not belong here! 

Those soldiers died for this country! We will always honor them.

No place in the USA for these people. Do you AGREE?",SHOCKING: Zahra Billoo: Fallen U.S. Soldiers Should NOT Be Honored on Memorial Day!,link,http://conservativefighters.com/news/shocking-zahra-billoo-fallen-u-s-soldiers-not-honored-memorial-day/,2017-02-24 19:42:25,8096,3925,2568,4373,51,90,104,85,3393
1726840707573399_1894105124180289,"HE NEEDS YOUR SUPPORT!

LET'S GET 100,000 'LIKES' FOR BARRON TRUMP!!",Something Terrible Is Happening To Barron… He Needs Your Support,link,http://conservativefighters.com/news/something-terrible-happening-barron-needs-support/,2017-02-24 19:15:25,12542,869,593,11562,561,18,8,303,90
1726840707573399_1894090884181713,"""TITLE CHANGE: Furious Muslim Confronts Cashier About Flag Pin… 2 Million People ""Like"" What Happened Next!

Furious Muslim Confronts Cashier About Flag Pin… 2 Million People ""Like"" What Happened Next!",'Offended' Muslim Confronts Cashier for American Flag Pin… Gets a WAKE UP Response!,link,http://conservativefighters.com/news/offended-muslim-confronts-cashier-american-flag-pin-gets-wake-response/,2017-02-24 19:05:00,6720,687,1394,5629,553,52,402,4,80
1726840707573399_1894085807515554,"LOOK CLOSELY...

CPAC's security took IMMEDIATE action...",BREAKING: Obama's Spies KICKED OUT Of Trump's CPAC Speech After Secret Service Catches What They Slipped Conservative Attendees,link,http://conservativefighters.com/news/breaking-obamas-spies-kicked-trumps-cpac-speech-secret-service-catches-slipped-conservative-attendees/,2017-02-24 18:44:48,2271,176,431,1811,44,42,85,15,274
1726840707573399_1894069234183878,"GOOD RIDDANCE!

IF YOU SUPPORT TRUMP GIVE US A 'LIKE' AND 'SHARE' AND COMMENT ' BOYCOTT CNN'",TRUMP OFFICAILLY BLOCKS CNN FROM WHITE HOUSE - Watch Their Live Reaction...,link,http://conservativefighters.com/news/trump-officailly-blocks-cnn-white-house-watch-live-reaction,2017-02-24 18:14:57,23280,4535,6780,20480,1187,49,1529,10,25
1726840707573399_1894066110850857,"DO YOU SUPPORT TRUMP 100%?

LIKE = HELL YES!",Illegal Aliens Speechless After Trump Suddenly Strips Their Funding and Instead Gives It to...,link,http://conservativefighters.com/news/illegal-aliens-speechless-trump-suddenly-strips-funding-instead-gives/,2017-02-24 18:09:12,7203,344,413,6869,271,9,49,3,3
1726840707573399_1894055244185277,"**CNN IS PATHETIC**

Watch what happens when they pick on the WRONG Trump supporter!

Have you boycotted CNN? - COMMENT with ""Yes"" or ""No"" then #SHARE so this goes viral!","CNN Reporter Tries to Tell Black Man Trump is Racist, IMMEDIATELY Regrets it",link,http://conservativefighters.com/news/cnn-reporter-tries-tell-black-man-trump-racist-immediately-regrets/,2017-02-24 17:44:49,9573,1931,3535,8008,641,65,805,7,47
1726840707573399_1894031694187632,"Trump's White House just hit the mainstream media right where it hurts.

 They never saw it coming...

Can we get 5,000 'LIKES' for Trump?",BREAKING: White House Just BANNED Media Outlets,link,http://conservativefighters.com/news/breaking-white-house-just-banned-media-outlets/,2017-02-24 17:11:29,1658,92,72,1532,69,0,55,2,0
1726840707573399_1894017134189088,"IF PRESIDENT TRUMP MAKES YOU FEEL PROUD TO BE AMERICAN, GIVE US A 'LIKE' & 'SHARE' AND COMMENT 'I AM WITH TRUMP'",TRUMP Gets BAD NEWS – Supreme Court Makes Move to INVALIDATE 2016 Presidential Elections,link,http://conservativefighters.com/news/trump-gets-bad-news-supreme-court-makes-move-invalidate-2016-presidential-elections/,2017-02-24 16:45:30,11282,3460,3453,9953,368,50,126,28,757
1726840707573399_1894013540856114,"LIKE IF YOU AGREE!

Instagram: bit.ly/instadonaldtrumpnews 🇺🇸🇺🇸🇺🇸",Timeline Photos,photo,https://www.facebook.com/DonaldTrumpNews.Co/photos/a.1736884363235700.1073741828.1726840707573399/1894013540856114/?type=3,2017-02-24 16:38:27,3330,213,685,3131,180,4,12,1,2
1726840707573399_1894002280857240,"DO YOU SUPPORT THIS?

LIKE = HELL YES!",Lawmakers Are Pushing To Place Ban On Wearing Muslim Burqa In Public - Do You Support This?,link,http://conservativefighters.com/news/lawmakers-pushing-place-ban-wearing-muslim-burqa-public-support/,2017-02-24 16:16:57,27293,3980,2817,26093,843,32,56,10,259
1726840707573399_1893988937525241,"BREAKING NEWS!

Texas Governor Abbott just made a huge move to put 'sanctuary city' mayors behind bars! I support him 100 percent!

Do you support the new law, or is it taking it too far?","BREAKING: ""Sanctuary City"" Mayors Are Going to PRISON - Do You Support?",link,http://conservativefighters.com/news/breaking-sanctuary-city-mayors-going-prison-support/,2017-02-24 15:46:17,16801,1613,2464,15733,884,38,124,4,18
1726840707573399_1893967627527372,"**THIS IS GOING VIRAL**
Watch what happens with this FAILED Hillary staffer tries to mock Tucker Carlson!! This is my favorite Tucker segment EVER!

Do you stand with Tucker Carlson? - COMMENT with """"Yes"""" or """"No"""" then #SHARE this so everyone in America sees this!","(WATCH) Top Democrat Tries to Mock Tucker Carlson, IMMEDIATELY Regrets it **THIS IS GOING VIRAL",link,http://conservativefighters.com/news/watch-top-democrat-tries-mock-tucker-carlson-immediately-regrets-going-viral,2017-02-24 15:00:33,3780,1074,964,3062,163,45,483,7,20
1726840707573399_1893955124195289,"**WATCH BEFORE DELETED**
This white liberal """"protester"""" just messed with the WRONG Trump supporter!

Do you stand with this Patriotic Trump supporter? - COMMENT with """"Yes"""" or """"No"""" then #SHARE so this gets 5 million views!","White Girl Tries to Tell Black Man Trump is Racist, IMMEDIATELY Regrets it",link,http://conservativefighters.com/news/white-girl-tries-tell-black-man-trump-racist-immediately-regrets,2017-02-24 14:35:50,7997,1325,2188,6951,613,50,366,2,15
1726840707573399_1893933467530788,"Whoa! A surprising state just passed a law that will now allow police to seize the assets of rioters! Now that is justice!

That liberal foundation is starting to crack!",Surprising State Passes Law Allowing Police to SEIZE Assets from Rioters. JUSTICE!,link,http://conservativefighters.com/news/surprising-state-passes-law-allowing-police-seize-assets-rioters-justice,2017-02-24 14:00:12,6563,390,734,6008,406,23,118,0,8
1726840707573399_1893881390869329,"Melania Trump is under fire.

We love her, Let's get her back.

Do you stand behind Melania?",BREAKING: Melania Trump Is Being Attacked… Please Show Your Support,link,http://conservativefighters.com/news/breaking-melania-trump-attacked-please-show-support/,2017-02-24 13:30:01,5689,624,380,5162,391,10,2,36,88
1726840707573399_1893880964202705,"**JOHN MCCAIN JUST BETRAYED AMERICA**
Look what he just got caught doing in Syria.

Do you think Senator McCain should be removed from office? - COMMENT with ""Yes"" or ""No"" then #SHARE so this goes viral!",TRAITOR! Trump Just Caught McCain Red-Handed! Look at The SICK Thing He Did Behind Trump's Back,link,http://conservativefighters.com/news/traitor-trump-just-caught-mccain-red-handed-look-sick-thing-behind-trumps-back/,2017-02-24 13:00:05,7912,4034,3063,5495,40,228,23,95,2031
1726840707573399_1893877500869718,"The View host Joy Behar just launched an attack on Barron Trump.

This is terrible. She should be absolutely ashamed.

Can we get 10,000 'LIKES' to have The View cancelled!","It Just Happened Again, Joy Behar Of 'The View' Goes After Barron Trump… Despicable [VIDEO]",link,http://conservativefighters.com/news/just-happened-joy-behar-view-goes-barron-trump-despicable-video/,2017-02-24 12:37:59,17169,8078,3225,12128,70,81,46,480,4365
